year,quarter,topic,mention_count,companies_mentioned,total_companies,importance_pct,growth_pct
2018,3,AI,1,1,1,100.0,0.0
2018,3,Cost optimization,2,1,1,100.0,0.0
2018,3,Geopolitical uncertainty,36,1,1,100.0,0.0
2018,3,Guidance,18,1,1,100.0,0.0
2018,3,Inflation,1,1,1,100.0,0.0
2018,3,Segment performance,47,1,1,100.0,0.0
2018,3,Supply chain,3,1,1,100.0,0.0
2018,3,Sustainability,2,1,1,100.0,0.0
2018,4,AI,21,4,7,57.14285714285714,200.0
2018,4,Advertising,135,7,7,100.0,0.0
2018,4,Cost optimization,37,6,7,85.71428571428571,200.0
2018,4,Geopolitical uncertainty,124,7,7,100.0,200.0
2018,4,Guidance,116,7,7,100.0,200.0
2018,4,Inflation,6,3,7,42.857142857142854,200.0
2018,4,Segment performance,208,7,7,100.0,200.0
2018,4,Supply chain,35,5,7,71.42857142857143,200.0
2018,4,Sustainability,2,2,7,28.57142857142857,0.0
2019,1,AI,18,4,8,50.0,-14.285714285714285
2019,1,Advertising,136,7,8,87.5,0.7407407407407408
2019,1,Cost optimization,34,8,8,100.0,-8.108108108108109
2019,1,Geopolitical uncertainty,170,8,8,100.0,37.096774193548384
2019,1,Guidance,101,8,8,100.0,-12.931034482758621
2019,1,Inflation,7,1,8,12.5,16.666666666666664
2019,1,Segment performance,241,8,8,100.0,15.865384615384615
2019,1,Supply chain,34,6,8,75.0,-2.857142857142857
2019,1,Sustainability,2,2,8,25.0,0.0
2019,2,AI,19,5,9,55.55555555555556,5.555555555555555
2019,2,Advertising,130,8,9,88.88888888888889,-4.411764705882353
2019,2,Cost optimization,45,8,9,88.88888888888889,32.35294117647059
2019,2,Geopolitical uncertainty,188,9,9,100.0,10.588235294117647
2019,2,Guidance,156,9,9,100.0,54.45544554455446
2019,2,Inflation,1,1,9,11.11111111111111,-85.71428571428571
2019,2,Segment performance,263,9,9,100.0,9.12863070539419
2019,2,Supply chain,35,7,9,77.77777777777779,2.941176470588235
2019,2,Sustainability,3,3,9,33.33333333333333,50.0
2019,3,AI,23,5,9,55.55555555555556,21.052631578947366
2019,3,Advertising,98,7,9,77.77777777777779,-24.615384615384617
2019,3,Cost optimization,53,7,9,77.77777777777779,17.77777777777778
2019,3,Geopolitical uncertainty,170,9,9,100.0,-9.574468085106384
2019,3,Guidance,127,9,9,100.0,-18.58974358974359
2019,3,Inflation,3,2,9,22.22222222222222,200.0
2019,3,Segment performance,295,9,9,100.0,12.167300380228136
2019,3,Supply chain,31,7,9,77.77777777777779,-11.428571428571429
2019,3,Sustainability,14,3,9,33.33333333333333,200.0
2019,4,AI,28,4,9,44.44444444444444,21.73913043478261
2019,4,Advertising,122,8,9,88.88888888888889,24.489795918367346
2019,4,Cost optimization,53,8,9,88.88888888888889,0.0
2019,4,Geopolitical uncertainty,205,9,9,100.0,20.588235294117645
2019,4,Guidance,177,9,9,100.0,39.37007874015748
2019,4,Inflation,2,1,9,11.11111111111111,-33.33333333333333
2019,4,Segment performance,287,9,9,100.0,-2.711864406779661
2019,4,Supply chain,39,8,9,88.88888888888889,25.806451612903224
2019,4,Sustainability,11,3,9,33.33333333333333,-21.428571428571427
2020,1,AI,34,6,11,54.54545454545454,21.428571428571427
2020,1,Advertising,144,9,11,81.81818181818183,18.0327868852459
2020,1,Cost optimization,57,8,11,72.72727272727273,7.547169811320755
2020,1,Geopolitical uncertainty,189,11,11,100.0,-7.804878048780488
2020,1,Guidance,193,11,11,100.0,9.03954802259887
2020,1,Inflation,3,2,11,18.181818181818183,50.0
2020,1,Segment performance,333,11,11,100.0,16.02787456445993
2020,1,Supply chain,64,8,11,72.72727272727273,64.1025641025641
2020,1,Sustainability,4,2,11,18.181818181818183,-63.63636363636363
2020,2,AI,33,7,11,63.63636363636363,-2.941176470588235
2020,2,Advertising,164,9,11,81.81818181818183,13.88888888888889
2020,2,Cost optimization,68,10,11,90.9090909090909,19.298245614035086
2020,2,Geopolitical uncertainty,203,11,11,100.0,7.4074074074074066
2020,2,Guidance,172,11,11,100.0,-10.880829015544041
2020,2,Inflation,9,2,11,18.181818181818183,200.0
2020,2,Segment performance,344,11,11,100.0,3.303303303303303
2020,2,Supply chain,80,11,11,100.0,25.0
2020,2,Sustainability,12,5,11,45.45454545454545,200.0
2020,3,AI,22,5,11,45.45454545454545,-33.33333333333333
2020,3,Advertising,105,10,11,90.9090909090909,-35.97560975609756
2020,3,Cost optimization,47,9,11,81.81818181818183,-30.88235294117647
2020,3,Geopolitical uncertainty,196,11,11,100.0,-3.4482758620689653
2020,3,Guidance,198,11,11,100.0,15.11627906976744
2020,3,Inflation,3,2,11,18.181818181818183,-66.66666666666666
2020,3,Segment performance,331,10,11,90.9090909090909,-3.77906976744186
2020,3,Supply chain,72,9,11,81.81818181818183,-10.0
2020,3,Sustainability,11,4,11,36.36363636363637,-8.333333333333332
2020,4,AI,28,7,11,63.63636363636363,27.27272727272727
2020,4,Advertising,149,10,11,90.9090909090909,41.904761904761905
2020,4,Cost optimization,45,10,11,90.9090909090909,-4.25531914893617
2020,4,Geopolitical uncertainty,225,11,11,100.0,14.795918367346939
2020,4,Guidance,243,11,11,100.0,22.727272727272727
2020,4,Inflation,3,2,11,18.181818181818183,0.0
2020,4,Segment performance,482,11,11,100.0,45.61933534743202
2020,4,Supply chain,66,8,11,72.72727272727273,-8.333333333333332
2020,4,Sustainability,14,3,11,27.27272727272727,27.27272727272727
2021,1,AI,26,5,12,41.66666666666667,-7.142857142857142
2021,1,Advertising,184,11,12,91.66666666666666,23.48993288590604
2021,1,Cost optimization,49,9,12,75.0,8.88888888888889
2021,1,Geopolitical uncertainty,217,12,12,100.0,-3.5555555555555554
2021,1,Guidance,204,12,12,100.0,-16.049382716049383
2021,1,Segment performance,416,12,12,100.0,-13.692946058091287
2021,1,Supply chain,81,11,12,91.66666666666666,22.727272727272727
2021,1,Sustainability,14,4,12,33.33333333333333,0.0
2021,2,AI,25,4,12,33.33333333333333,-3.8461538461538463
2021,2,Advertising,199,12,12,100.0,8.152173913043478
2021,2,Cost optimization,57,9,12,75.0,16.3265306122449
2021,2,Geopolitical uncertainty,198,12,12,100.0,-8.755760368663594
2021,2,Guidance,186,12,12,100.0,-8.823529411764707
2021,2,Inflation,2,1,12,8.333333333333332,-33.33333333333333
2021,2,Segment performance,460,12,12,100.0,10.576923076923077
2021,2,Supply chain,86,11,12,91.66666666666666,6.172839506172839
2021,2,Sustainability,25,5,12,41.66666666666667,78.57142857142857
2021,3,AI,55,7,12,58.333333333333336,120.0
2021,3,Advertising,176,11,12,91.66666666666666,-11.557788944723619
2021,3,Cost optimization,55,8,12,66.66666666666666,-3.508771929824561
2021,3,Geopolitical uncertainty,190,12,12,100.0,-4.040404040404041
2021,3,Guidance,209,12,12,100.0,12.365591397849462
2021,3,Inflation,12,3,12,25.0,200.0
2021,3,Segment performance,427,11,12,91.66666666666666,-7.173913043478261
2021,3,Supply chain,146,11,12,91.66666666666666,69.76744186046511
2021,3,Sustainability,18,5,12,41.66666666666667,-28.000000000000004
2021,4,AI,55,7,12,58.333333333333336,0.0
2021,4,Advertising,210,11,12,91.66666666666666,19.318181818181817
2021,4,Cost optimization,61,11,12,91.66666666666666,10.909090909090908
2021,4,Geopolitical uncertainty,203,12,12,100.0,6.842105263157896
2021,4,Guidance,283,12,12,100.0,35.406698564593306
2021,4,Inflation,18,7,12,58.333333333333336,50.0
2021,4,Segment performance,545,12,12,100.0,27.634660421545664
2021,4,Supply chain,155,11,12,91.66666666666666,6.164383561643835
2021,4,Sustainability,10,4,12,33.33333333333333,-44.44444444444444
2022,1,AI,41,7,12,58.333333333333336,-25.454545454545453
2022,1,Advertising,206,12,12,100.0,-1.9047619047619049
2022,1,Cost optimization,60,10,12,83.33333333333334,-1.639344262295082
2022,1,Geopolitical uncertainty,228,12,12,100.0,12.31527093596059
2022,1,Guidance,236,12,12,100.0,-16.607773851590103
2022,1,Inflation,47,7,12,58.333333333333336,161.11111111111111
2022,1,Segment performance,487,12,12,100.0,-10.642201834862385
2022,1,Supply chain,127,11,12,91.66666666666666,-18.064516129032256
2022,1,Sustainability,15,4,12,33.33333333333333,50.0
2022,2,AI,54,6,13,46.15384615384615,31.70731707317073
2022,2,Advertising,340,13,13,100.0,65.0485436893204
2022,2,Cost optimization,97,12,13,92.3076923076923,61.66666666666667
2022,2,Geopolitical uncertainty,292,13,13,100.0,28.07017543859649
2022,2,Guidance,273,13,13,100.0,15.677966101694915
2022,2,Inflation,95,12,13,92.3076923076923,102.12765957446808
2022,2,Segment performance,554,13,13,100.0,13.75770020533881
2022,2,Supply chain,114,13,13,100.0,-10.236220472440944
2022,2,Sustainability,17,4,13,30.76923076923077,13.333333333333334
2022,3,AI,63,8,13,61.53846153846154,16.666666666666664
2022,3,Advertising,229,13,13,100.0,-32.64705882352941
2022,3,Cost optimization,117,11,13,84.61538461538461,20.618556701030926
2022,3,Geopolitical uncertainty,244,13,13,100.0,-16.43835616438356
2022,3,Guidance,308,13,13,100.0,12.82051282051282
2022,3,Inflation,66,13,13,100.0,-30.526315789473685
2022,3,Segment performance,442,13,13,100.0,-20.216606498194945
2022,3,Supply chain,95,11,13,84.61538461538461,-16.666666666666664
2022,3,Sustainability,8,4,13,30.76923076923077,-52.94117647058824
2022,4,AI,95,7,13,53.84615384615385,50.79365079365079
2022,4,Advertising,240,13,13,100.0,4.8034934497816595
2022,4,Cost optimization,136,12,13,92.3076923076923,16.23931623931624
2022,4,Geopolitical uncertainty,262,13,13,100.0,7.377049180327869
2022,4,Guidance,314,13,13,100.0,1.948051948051948
2022,4,Inflation,48,10,13,76.92307692307693,-27.27272727272727
2022,4,Segment performance,542,13,13,100.0,22.624434389140273
2022,4,Supply chain,85,12,13,92.3076923076923,-10.526315789473683
2022,4,Sustainability,19,6,13,46.15384615384615,137.5
2023,1,AI,171,8,13,61.53846153846154,80.0
2023,1,Advertising,226,13,13,100.0,-5.833333333333333
2023,1,Cost optimization,149,13,13,100.0,9.558823529411764
2023,1,Geopolitical uncertainty,211,13,13,100.0,-19.46564885496183
2023,1,Guidance,260,13,13,100.0,-17.197452229299362
2023,1,Inflation,42,9,13,69.23076923076923,-12.5
2023,1,Segment performance,435,13,13,100.0,-19.74169741697417
2023,1,Supply chain,91,12,13,92.3076923076923,7.0588235294117645
2023,1,Sustainability,14,5,13,38.46153846153847,-26.31578947368421
2023,2,AI,231,9,13,69.23076923076923,35.08771929824561
2023,2,Advertising,234,12,13,92.3076923076923,3.5398230088495577
2023,2,Cost optimization,117,12,13,92.3076923076923,-21.476510067114095
2023,2,Geopolitical uncertainty,200,13,13,100.0,-5.213270142180095
2023,2,Guidance,254,13,13,100.0,-2.307692307692308
2023,2,Inflation,32,8,13,61.53846153846154,-23.809523809523807
2023,2,Segment performance,373,13,13,100.0,-14.25287356321839
2023,2,Supply chain,68,11,13,84.61538461538461,-25.274725274725274
2023,2,Sustainability,14,3,13,23.076923076923077,0.0
2023,3,AI,238,8,12,66.66666666666666,3.0303030303030303
2023,3,Advertising,193,12,12,100.0,-17.52136752136752
2023,3,Cost optimization,106,12,12,100.0,-9.401709401709402
2023,3,Geopolitical uncertainty,231,12,12,100.0,15.5
2023,3,Guidance,232,12,12,100.0,-8.661417322834646
2023,3,Inflation,24,7,12,58.333333333333336,-25.0
2023,3,Segment performance,403,12,12,100.0,8.04289544235925
2023,3,Supply chain,72,12,12,100.0,5.88235294117647
2023,3,Sustainability,10,6,12,50.0,-28.57142857142857
2023,4,AI,251,8,13,61.53846153846154,5.46218487394958
2023,4,Advertising,267,13,13,100.0,38.34196891191709
2023,4,Cost optimization,131,12,13,92.3076923076923,23.58490566037736
2023,4,Geopolitical uncertainty,282,13,13,100.0,22.07792207792208
2023,4,Guidance,319,13,13,100.0,37.5
2023,4,Inflation,24,8,13,61.53846153846154,0.0
2023,4,Segment performance,547,13,13,100.0,35.73200992555831
2023,4,Supply chain,88,13,13,100.0,22.22222222222222
2023,4,Sustainability,10,3,13,23.076923076923077,0.0
2024,1,AI,302,11,14,78.57142857142857,20.318725099601593
2024,1,Advertising,222,13,14,92.85714285714286,-16.853932584269664
2024,1,Cost optimization,114,13,14,92.85714285714286,-12.977099236641221
2024,1,Geopolitical uncertainty,223,14,14,100.0,-20.921985815602838
2024,1,Guidance,239,13,14,92.85714285714286,-25.07836990595611
2024,1,Inflation,20,8,14,57.14285714285714,-16.666666666666664
2024,1,Segment performance,539,14,14,100.0,-1.4625228519195612
2024,1,Supply chain,80,12,14,85.71428571428571,-9.090909090909092
2024,1,Sustainability,8,5,14,35.714285714285715,-20.0
2024,2,AI,292,9,14,64.28571428571429,-3.3112582781456954
2024,2,Advertising,181,14,14,100.0,-18.46846846846847
2024,2,Cost optimization,105,13,14,92.85714285714286,-7.894736842105263
2024,2,Geopolitical uncertainty,254,14,14,100.0,13.901345291479823
2024,2,Guidance,242,14,14,100.0,1.2552301255230125
2024,2,Inflation,13,7,14,50.0,-35.0
2024,2,Segment performance,461,14,14,100.0,-14.471243042671613
2024,2,Supply chain,65,14,14,100.0,-18.75
2024,2,Sustainability,13,3,14,21.428571428571427,62.5
2024,3,AI,314,12,14,85.71428571428571,7.534246575342466
2024,3,Advertising,201,13,14,92.85714285714286,11.049723756906078
2024,3,Cost optimization,124,13,14,92.85714285714286,18.095238095238095
2024,3,Geopolitical uncertainty,262,14,14,100.0,3.149606299212598
2024,3,Guidance,259,14,14,100.0,7.024793388429752
2024,3,Inflation,16,6,14,42.857142857142854,23.076923076923077
2024,3,Segment performance,443,14,14,100.0,-3.9045553145336225
2024,3,Supply chain,60,13,14,92.85714285714286,-7.6923076923076925
2024,3,Sustainability,10,6,14,42.857142857142854,-23.076923076923077
2024,4,AI,380,11,14,78.57142857142857,21.019108280254777
2024,4,Advertising,186,13,14,92.85714285714286,-7.462686567164178
2024,4,Cost optimization,110,13,14,92.85714285714286,-11.29032258064516
2024,4,Geopolitical uncertainty,247,14,14,100.0,-5.7251908396946565
2024,4,Guidance,297,14,14,100.0,14.671814671814673
2024,4,Inflation,12,6,14,42.857142857142854,-25.0
2024,4,Segment performance,462,14,14,100.0,4.288939051918736
2024,4,Supply chain,69,12,14,85.71428571428571,15.0
2024,4,Sustainability,8,3,14,21.428571428571427,-20.0
2025,1,AI,371,11,14,78.57142857142857,-2.368421052631579
2025,1,Advertising,182,13,14,92.85714285714286,-2.1505376344086025
2025,1,Cost optimization,80,11,14,78.57142857142857,-27.27272727272727
2025,1,Geopolitical uncertainty,288,14,14,100.0,16.599190283400812
2025,1,Guidance,223,14,14,100.0,-24.915824915824917
2025,1,Inflation,17,8,14,57.14285714285714,41.66666666666667
2025,1,Segment performance,400,14,14,100.0,-13.41991341991342
2025,1,Supply chain,67,12,14,85.71428571428571,-2.898550724637681
2025,1,Sustainability,5,2,14,14.285714285714285,-37.5
2025,2,AI,344,13,14,92.85714285714286,-7.277628032345014
2025,2,Advertising,158,13,14,92.85714285714286,-13.186813186813188
2025,2,Cost optimization,90,12,14,85.71428571428571,12.5
2025,2,Geopolitical uncertainty,290,14,14,100.0,0.6944444444444444
2025,2,Guidance,242,14,14,100.0,8.520179372197308
2025,2,Inflation,13,5,14,35.714285714285715,-23.52941176470588
2025,2,Segment performance,416,14,14,100.0,4.0
2025,2,Supply chain,72,11,14,78.57142857142857,7.462686567164178
2025,2,Sustainability,15,3,14,21.428571428571427,200.0
2025,3,AI,304,11,13,84.61538461538461,-11.627906976744185
2025,3,Advertising,171,11,13,84.61538461538461,8.227848101265822
2025,3,Cost optimization,62,11,13,84.61538461538461,-31.11111111111111
2025,3,Geopolitical uncertainty,228,12,13,92.3076923076923,-21.379310344827587
2025,3,Guidance,156,12,13,92.3076923076923,-35.53719008264463
2025,3,Inflation,5,4,13,30.76923076923077,-61.53846153846154
2025,3,Segment performance,355,12,13,92.3076923076923,-14.663461538461538
2025,3,Supply chain,45,11,13,84.61538461538461,-37.5
2025,3,Sustainability,1,1,13,7.6923076923076925,-93.33333333333333
2025,4,AI,319,9,10,90.0,4.934210526315789
2025,4,Advertising,91,10,10,100.0,-46.783625730994146
2025,4,Cost optimization,71,9,10,90.0,14.516129032258066
2025,4,Geopolitical uncertainty,192,10,10,100.0,-15.789473684210526
2025,4,Guidance,236,10,10,100.0,51.28205128205128
2025,4,Inflation,6,3,10,30.0,20.0
2025,4,Segment performance,266,10,10,100.0,-25.070422535211268
2025,4,Supply chain,47,8,10,80.0,4.444444444444445
2025,4,Sustainability,5,2,10,20.0,200.0
2026,1,AI,67,3,3,100.0,-78.99686520376176
2026,1,Advertising,12,3,3,100.0,-86.81318681318682
2026,1,Cost optimization,26,3,3,100.0,-63.38028169014085
2026,1,Geopolitical uncertainty,60,3,3,100.0,-68.75
2026,1,Guidance,60,3,3,100.0,-74.57627118644068
2026,1,Inflation,3,1,3,33.33333333333333,-50.0
2026,1,Segment performance,106,3,3,100.0,-60.150375939849624
2026,1,Supply chain,14,3,3,100.0,-70.2127659574468
2026,2,AI,34,1,1,100.0,-49.25373134328358
2026,2,Advertising,2,1,1,100.0,-83.33333333333334
2026,2,Cost optimization,19,1,1,100.0,-26.923076923076923
2026,2,Geopolitical uncertainty,19,1,1,100.0,-68.33333333333333
2026,2,Guidance,29,1,1,100.0,-51.66666666666667
2026,2,Segment performance,41,1,1,100.0,-61.32075471698113
2026,2,Supply chain,3,1,1,100.0,-78.57142857142857
